user_id,gender,age,income,Number of orders
164142,Female,69,80000,15
164144,Male,58,38000,59
164145,Male,48,51000,67
164146,Male,52,49000,12
164157,Male,57,30000,19
164169,Female,85,47000,17
164172,Female,52,36000,46
164176,Female,80,43000,6
164181,Female,37,48000,24
164182,Female,47,52000,8
164183,Male,67,96000,22
164185,Male,56,68000,28
164186,Female,70,97000,16
164188,Female,29,45000,40
164189,Female,45,49000,11
164192,Female,60,84000,2
164238,Female,46,51000,17
164240,Female,70,54000,1
164243,Female,21,72000,31
164257,Female,59,95000,1
164258,Female,54,96000,30
164259,Female,56,74000,3
164261,Female,28,65000,3
164262,Female,55,61000,46
164263,Female,58,61000,2
164264,Female,64,93000,12
164268,Male,70,63000,2
164269,Female,72,82000,2
164270,Female,50,60000,6
164271,Male,24,58000,43
164274,Female,39,99000,26
164275,Female,54,103000,9
164277,Male,55,49000,40
164284,Male,69,34000,9
164285,Female,49,79000,22
164289,Male,21,42000,15
164292,Male,55,75000,13
164293,Male,57,40000,11
164296,Male,62,73000,12
164297,Female,81,101000,13
164298,Female,45,55000,4
164300,Female,71,43000,6
164301,Female,58,77000,18
164304,Female,28,68000,66
164307,Male,62,74000,45
164309,Male,56,40000,8
164312,Male,54,46000,27
164317,Female,69,53000,15
164318,Male,29,53000,30
164319,Male,52,67000,31
164323,Female,71,107000,9
164325,Female,44,74000,27
164326,Male,83,90000,27
164329,Female,41,48000,8
164330,Female,56,43000,9
164332,Female,37,83000,6
164334,Male,66,51000,14
164335,Female,53,32000,5
164337,Female,60,71000,3
164338,Male,23,33000,30
164340,Female,59,102000,43
164341,Female,19,32000,11
164344,Female,55,62000,17
164345,Male,22,49000,21
164350,Male,39,32000,48
164351,Male,43,57000,13
164354,Female,47,30000,14
164356,Female,40,51000,3
164358,Female,25,36000,13
164359,Female,51,65000,48
164360,Female,19,55000,16
164361,Female,44,31000,5
164362,Female,53,84000,3
164363,Female,67,72000,41
164364,Female,36,64000,15
164365,Male,56,88000,21
169358,Male,69,92000,58
169360,Male,39,59000,1
169363,Male,60,57000,15
169365,Male,74,91000,31
169368,Female,66,51000,59
169371,Female,84,69000,24
169372,Female,72,106000,4
169373,Female,54,44000,2
169374,Female,71,105000,34
169376,Female,63,115000,33
169380,Male,51,59000,28
169381,Male,25,40000,14
169382,Male,58,90000,15
169383,Female,34,61000,3
169384,Female,54,85000,61
169388,Female,52,56000,13
169391,Female,20,37000,4
169392,Female,42,59000,1
169395,Female,32,62000,3
169398,Female,46,40000,16
169399,Female,53,35000,5
169403,Female,66,76000,14
169404,Male,18,51000,1
169407,Female,55,79000,11
169408,Male,32,40000,29
169409,Male,42,69000,23
169410,Female,68,77000,25
169413,Male,18,48000,8
169414,Female,47,62000,22
169415,Male,58,85000,10
169419,Female,59,98000,10
169420,Female,77,103000,4
169430,Female,47,51000,32
169431,Female,60,108000,12
169434,Male,53,34000,14
169436,Male,36,41000,28
169437,Female,24,44000,34
169438,Male,59,48000,27
169439,Male,49,81000,4
169441,Male,58,81000,5
169442,Female,57,71000,63
169444,Female,41,79000,11
169445,Female,81,49000,6
169446,Male,21,61000,3
169448,Male,52,107000,3
169449,Female,61,73000,13
169450,Female,66,82000,19
169453,Male,59,93000,19
169454,Female,72,76000,5
169455,Female,56,40000,29
169456,Female,59,52000,15
169459,Female,57,88000,22
169461,Female,60,69000,8
169465,Female,20,45000,23
169467,Female,22,55000,37
169470,Male,60,74000,7
169471,Male,77,82000,20
169472,Female,90,65000,22
169473,Male,22,57000,5
169474,Female,45,60000,6
169478,Female,63,65000,2
169479,Male,53,67000,2
169480,Female,32,35000,19
169486,Female,64,73000,14
169487,Male,82,47000,7
169492,Female,39,53000,27
169495,Female,68,94000,3
169496,Female,40,39000,14
169500,Female,63,103000,10
169504,Female,84,72000,22
169505,Male,42,33000,11
169506,Male,85,108000,29
169509,Male,63,103000,7
169511,Female,88,64000,5
169512,Female,28,54000,7
169516,Male,71,45000,6
169517,Female,61,106000,5
169522,Female,19,43000,13
169524,Female,66,57000,2
169525,Female,55,54000,15
169526,Male,54,48000,1
169528,Female,56,87000,3
169529,Male,66,60000,6
169536,Male,60,108000,12
169537,Female,85,71000,17
169542,Female,55,73000,3
169543,Female,42,94000,1
169545,Male,69,62000,1
169546,Female,38,55000,8
169548,Female,76,99000,41
169550,Female,65,35000,248
169552,Male,48,82000,5
169553,Female,58,50000,7
169554,Female,71,90000,15
169558,Female,80,45000,1
169564,Female,25,55000,6
169565,Female,29,87000,4
169640,Female,58,75000,6
169644,Male,81,57000,37
169647,Male,19,43000,233
169648,Female,72,62000,16
169649,Female,60,97000,13
169652,Male,33,73000,4
169653,Female,62,72000,48
169654,Male,55,103000,78
169656,Male,48,40000,4
169660,Female,42,78000,11
169664,Male,32,51000,3
169666,Female,82,92000,9
169671,Female,36,53000,3
169673,Male,63,85000,2
169676,Male,18,41000,46
169679,Female,53,98000,5
169680,Male,66,72000,6
169681,Female,29,33000,21
169683,Male,55,58000,27
169684,Female,54,63000,25
169685,Female,63,31000,12
169689,Female,31,70000,8
169695,Female,29,52000,16
169698,Male,32,61000,29
169702,Male,32,69000,13
169704,Female,56,38000,2
169708,Female,56,37000,11
169709,Female,42,43000,20
169712,Female,76,118000,31
169713,Male,71,50000,47
169717,Male,56,59000,13
169720,Female,71,40000,15
169722,Male,23,30000,32
169725,Female,31,34000,15
169726,Male,42,69000,15
169727,Male,68,48000,4
169728,Male,36,61000,10
169729,Female,72,56000,22
169731,Male,26,67000,21
169733,Male,44,54000,39
169734,Male,57,60000,28
169735,Female,36,41000,34
169737,Female,75,63000,13
169738,Male,48,60000,31
169739,Female,19,44000,13
169740,Female,76,115000,1
169745,Female,42,72000,9
169746,Female,47,54000,21
169748,Female,60,71000,33
169749,Male,83,56000,15
169750,Male,69,89000,6
169751,Female,49,88000,26
169753,Male,68,92000,11
169754,Male,34,31000,14
169755,Female,46,59000,26
169757,Male,78,57000,7
169758,Male,59,116000,12
169760,Male,87,57000,34
169762,Female,62,36000,29
169763,Female,49,47000,15
169764,Female,66,88000,7
169765,Female,19,59000,44
169767,Female,69,39000,11
169770,Female,60,118000,1
169771,Female,31,72000,11
169773,Female,84,32000,4
169776,Female,76,103000,15
169778,Female,41,72000,2
169780,Male,70,116000,12
169783,Female,40,52000,21
169784,Male,22,40000,86
169786,Female,72,75000,8
169788,Male,39,70000,18
169790,Female,57,51000,3
169792,Male,63,33000,27
169796,Female,54,117000,13
169797,Male,61,91000,9
169798,Male,39,49000,51
169799,Female,41,34000,2
169800,Female,67,83000,16
169803,Female,48,84000,7
169807,Female,54,38000,22
169810,Male,68,72000,7
169811,Male,85,58000,2
169812,Male,51,43000,8
169813,Male,68,54000,16
169814,Female,61,86000,20
169816,Female,24,35000,16
169818,Female,58,81000,62
169819,Female,23,73000,27
169820,Female,53,80000,19
169825,Female,79,96000,20
169827,Female,26,30000,10
169829,Female,22,35000,22
169831,Female,26,73000,4
169832,Male,40,30000,15
169834,Female,90,93000,30
169835,Female,51,67000,15
169839,Female,71,45000,1
169842,Female,67,80000,17
169845,Female,72,119000,26
169846,Male,61,106000,12
169849,Male,43,66000,26
169850,Male,85,72000,11
169851,Female,58,67000,5
169852,Female,57,74000,7
169856,Male,70,106000,1
169857,Female,34,75000,64
169858,Male,54,96000,22
169861,Female,59,70000,7
169862,Female,55,68000,12
169864,Male,40,56000,21
169866,Female,38,84000,25
169868,Male,59,67000,18
169869,Female,57,88000,22
169870,Female,24,46000,6
169872,Male,24,33000,29
169874,Female,67,54000,1
169875,Female,76,104000,25
169877,Female,48,64000,5
169878,Female,26,53000,3
169881,Male,67,96000,7
169882,Female,55,51000,15
169884,Female,57,37000,11
169885,Female,28,49000,4
169886,Female,46,55000,40
169890,Female,24,35000,13
169893,Female,89,63000,11
169894,Male,88,73000,5
169897,Male,51,91000,12
169899,Female,67,73000,4
169901,Female,38,38000,58
169902,Male,49,70000,10
169907,Female,41,61000,12
169909,Male,57,51000,8
169912,Male,63,96000,56
169914,Female,33,41000,8
169915,Male,64,86000,19
169920,Female,69,67000,49
169921,Male,78,77000,12
169924,Male,42,62000,11
169925,Male,78,72000,5
169926,Female,72,67000,36
169927,Female,31,43000,19
169928,Female,69,83000,2
169929,Male,42,98000,2
169930,Male,50,42000,33
169936,Male,52,40000,32
169937,Female,49,86000,9
169938,Male,64,41000,7
169939,Male,45,56000,22
169940,Male,88,81000,7
169944,Female,52,108000,15
169945,Male,36,31000,6
169947,Male,72,40000,11
169948,Male,90,57000,13
169950,Female,56,79000,27
169951,Male,28,68000,58
169953,Male,54,63000,5
169954,Female,34,67000,2
169956,Male,37,59000,46
169957,Female,57,72000,20
169959,Female,53,82000,15
169961,Female,66,31000,15
169962,Male,69,55000,20
169963,Female,56,55000,39
169965,Female,49,89000,10
169966,Male,64,74000,28
169967,Female,56,88000,9
169968,Male,45,99000,5
169971,Male,39,31000,46
169972,Female,30,31000,21
169980,Female,76,64000,6
169981,Male,56,54000,8
169982,Male,36,54000,9
169983,Male,72,65000,16
169985,Female,66,79000,22
169986,Female,57,76000,30
169987,Male,58,71000,14
169988,Male,59,64000,58
169989,Male,48,40000,48
169990,Male,48,90000,15
169991,Female,63,33000,124
170037,Male,67,84000,3
170039,Male,65,60000,18
170040,Male,50,52000,19
170041,Female,55,36000,34
170043,Female,50,51000,17
170049,Female,61,97000,21
170052,Female,38,57000,13
170055,Male,54,94000,20
170057,Female,45,54000,12
170061,Male,35,33000,1
170062,Female,64,48000,12
170063,Male,51,34000,20
170064,Male,26,74000,1
170067,Male,71,39000,27
170068,Female,55,88000,57
170069,Male,47,53000,6
170070,Male,42,65000,12
170071,Female,35,53000,50
170076,Female,71,104000,17
170082,Female,88,105000,9
170083,Female,70,95000,3
170086,Female,45,35000,27
170087,Female,51,105000,21
170088,Male,68,100000,49
170089,Female,61,99000,9
170091,Male,54,97000,22
170092,Male,41,64000,66
170096,Female,50,108000,16
170099,Female,78,111000,55
170100,Female,60,42000,26
170102,Female,44,51000,5
170103,Female,54,74000,20
170109,Male,75,87000,9
170110,Female,67,93000,66
170111,Male,63,65000,4
170113,Female,77,32000,8
170114,Female,63,84000,28
170118,Female,55,34000,2
170119,Female,37,41000,10
170120,Female,44,48000,18
170122,Male,84,73000,22
170124,Female,57,95000,1
170125,Female,49,78000,3
170127,Male,74,112000,9
170131,Female,51,41000,13
170134,Female,47,40000,6
170138,Female,21,66000,50
170143,Female,58,118000,4
170144,Female,58,74000,26
170145,Female,24,59000,7
170150,Male,48,98000,5
170151,Female,55,80000,5
170154,Female,32,33000,70
170155,Male,33,74000,26
170157,Female,55,104000,15
170158,Female,64,72000,20
170160,Female,49,58000,4
170162,Female,63,57000,13
170163,Female,40,33000,9
170164,Female,47,91000,10
170166,Female,35,35000,62
170168,Male,55,61000,4
170169,Male,54,117000,2
170171,Male,65,81000,13
170173,Female,48,80000,9
170174,Male,41,79000,1
170175,Male,56,73000,13
170176,Female,40,34000,10
170177,Male,43,60000,45
170178,Female,37,44000,26
170179,Female,79,95000,44
170181,Female,67,85000,1
170182,Male,45,55000,4
170184,Male,59,41000,9
170185,Male,88,50000,8
170187,Female,72,107000,21
170188,Female,41,52000,2
170191,Male,46,65000,9
170192,Male,71,88000,6
170194,Female,53,81000,9
170195,Male,75,98000,7
170196,Female,25,39000,11
170199,Male,27,37000,32
170200,Male,44,51000,5
170201,Female,53,61000,4
170205,Female,56,50000,31
170208,Male,60,45000,66
170210,Female,73,62000,40
170215,Female,61,31000,38
170217,Female,48,77000,29
170219,Female,64,66000,6
170222,Male,36,38000,20
170223,Female,60,69000,14
170224,Female,67,35000,64
170225,Female,40,71000,16
170229,Female,74,64000,3
170232,Female,48,49000,21
170233,Male,73,94000,26
170238,Male,67,67000,11
170239,Male,59,80000,40
170240,Female,88,50000,43
170242,Female,60,95000,13
170243,Female,76,81000,10
170246,Female,54,99000,23
170248,Male,49,99000,63
170257,Male,64,111000,2
170259,Male,46,63000,9
170261,Female,65,55000,14
170263,Female,80,41000,17
170264,Female,54,72000,12
170265,Female,78,81000,15
180861,Female,51,72000,6
180862,Male,55,39000,7
180863,Female,45,78000,6
180866,Male,44,86000,12
180870,Male,34,44000,15
180872,Female,78,43000,16
180876,Female,38,58000,51
180877,Male,63,82000,5
180879,Male,19,73000,4
180880,Male,50,32000,2
180881,Male,84,87000,13
180882,Female,55,104000,11
180883,Female,54,50000,11
180886,Female,49,111000,19
180887,Male,64,56000,18
180889,Female,58,89000,15
180890,Male,21,50000,19
180891,Female,79,90000,6
180893,Female,85,37000,3
180894,Male,42,87000,17
180895,Female,45,56000,21
180898,Female,57,97000,8
180901,Female,83,50000,2
180902,Male,67,113000,33
180903,Female,61,98000,2
180905,Female,74,107000,94
180906,Female,27,70000,3
180909,Female,71,67000,7
180910,Female,67,89000,13
180912,Female,61,87000,27
180913,Female,58,71000,29
180914,Female,30,41000,8
180915,Male,73,63000,12
180918,Female,46,73000,41
180919,Female,20,47000,10
180921,Male,64,33000,2
180925,Male,59,73000,6
180926,Female,70,70000,3
180930,Female,63,47000,63
180937,Male,56,76000,22
180939,Male,46,94000,5
180945,Female,40,71000,22
180947,Female,46,36000,17
180951,Female,33,32000,7
180955,Male,58,55000,2
180956,Female,53,111000,38
180960,Female,72,73000,42
180961,Female,48,45000,56
180962,Female,76,31000,47
180963,Male,67,54000,14
180964,Male,43,94000,2
180966,Female,65,63000,26
180968,Female,34,45000,20
180971,Female,61,119000,17
180972,Female,49,104000,6
180973,Female,40,68000,92
180974,Female,73,65000,4
180975,Male,72,74000,44
180976,Male,23,65000,4
180977,Male,75,115000,9
180978,Female,24,50000,6
180979,Female,51,75000,21
180980,Female,36,36000,9
180981,Female,74,86000,3
180984,Female,59,101000,3
180985,Male,64,42000,25
180986,Female,58,42000,17
180988,Male,56,104000,47
180990,Male,52,40000,2
180996,Female,73,52000,18
180999,Male,21,31000,13
181000,Male,80,35000,11
181004,Male,46,73000,34
181006,Female,60,69000,2
181007,Female,37,59000,28
181009,Male,65,75000,18
181010,Female,27,55000,6
181013,Female,55,85000,4
181014,Male,57,90000,5
181019,Female,56,66000,57
181022,Male,37,39000,7
181024,Female,66,48000,12
181025,Female,83,71000,44
181027,Female,62,86000,1
181028,Male,70,92000,9
181030,Male,50,95000,3
181032,Female,32,34000,2
181033,Female,83,112000,13
181034,Female,69,32000,11
181035,Female,53,72000,16
181036,Male,67,59000,6
181039,Female,40,50000,4
181040,Male,23,54000,4
181043,Male,54,70000,2
181044,Female,75,54000,14
181045,Female,74,115000,2
181046,Female,40,67000,8
181047,Female,21,48000,24
181049,Female,49,94000,2
181051,Female,53,104000,23
181054,Male,59,99000,14
181055,Female,72,37000,49
181056,Female,73,49000,24
181057,Male,78,111000,8
181059,Male,57,39000,30
181060,Male,65,95000,3
181062,Male,56,71000,5
181065,Female,68,74000,3
181067,Female,24,53000,16
181069,Male,57,53000,24
181070,Male,74,57000,61
181072,Male,60,32000,1
181073,Male,37,77000,12
181077,Female,53,66000,15
181078,Female,31,31000,2
181080,Female,27,33000,33
181082,Male,49,100000,28
181085,Male,35,54000,27
181086,Female,76,54000,91
181088,Female,82,74000,4
181091,Female,52,65000,3
181094,Male,72,37000,7
181096,Male,58,64000,1
181100,Female,42,93000,61
181103,Female,36,72000,1
181107,Male,42,58000,19
181109,Female,58,87000,11
181111,Female,39,73000,19
181112,Female,70,85000,8
181114,Female,78,84000,40
181115,Female,22,72000,51
181116,Male,46,96000,41
181119,Female,58,74000,3
181121,Male,63,107000,54
181124,Female,38,48000,106
181126,Male,57,102000,13
181129,Female,57,75000,9
181130,Male,70,31000,10
181131,Female,66,63000,27
181132,Female,63,49000,2
181134,Female,37,33000,19
181137,Female,59,100000,31
181139,Male,81,87000,15
181140,Female,37,78000,3
181141,Male,71,85000,8
181143,Female,63,76000,36
181145,Male,52,35000,5
181146,Female,72,81000,27
181147,Male,39,59000,6
181151,Female,41,35000,5
181153,Female,81,68000,6
181154,Female,76,80000,10
181155,Female,64,111000,53
181157,Female,80,79000,1
181158,Female,58,111000,1
181163,Female,53,68000,13
181167,Female,56,82000,45
181170,Female,83,86000,11
181172,Male,40,40000,27
181173,Female,44,45000,3
181176,Female,77,56000,1
181177,Female,83,90000,20
181180,Female,83,99000,1
181181,Male,33,37000,27
181184,Male,47,37000,6
181185,Male,39,37000,21
181186,Female,51,84000,64
181188,Female,56,79000,1
181192,Female,61,64000,7
181193,Female,66,88000,6
181195,Male,69,54000,10
181197,Female,41,85000,2
181198,Female,46,82000,17
181200,Female,41,31000,3
181202,Female,74,101000,42
181203,Female,37,72000,34
181204,Female,71,38000,16
181206,Female,84,67000,7
181207,Male,50,82000,28
181208,Female,58,86000,17
181209,Male,62,71000,89
181210,Female,81,39000,32
181211,Female,35,38000,13
181215,Female,69,51000,19
181216,Male,80,34000,10
181217,Male,22,33000,14
181218,Female,51,101000,5
181219,Female,55,72000,24
181223,Male,59,43000,11
181225,Male,59,53000,42
181227,Male,35,37000,5
181231,Male,24,31000,5
181232,Female,52,56000,46
181236,Female,36,51000,1
181237,Male,58,54000,24
181241,Female,20,64000,20
181243,Female,58,48000,14
181246,Female,50,118000,64
181247,Female,37,51000,14
181249,Male,22,69000,10
181250,Male,40,52000,4
181251,Female,59,70000,5
181253,Male,41,64000,8
181254,Female,88,118000,16
181256,Female,42,37000,8
181257,Female,63,75000,12
181262,Male,52,50000,45
181265,Male,41,89000,24
181269,Female,46,33000,7
181274,Female,70,71000,12
181275,Male,47,31000,21
181276,Female,85,53000,28
181277,Female,51,54000,10
181278,Female,26,73000,52
181284,Female,83,72000,4
181289,Male,68,92000,9
181290,Female,66,53000,7
181292,Female,76,100000,33
181293,Female,39,50000,62
181295,Male,59,63000,3
181300,Male,77,78000,7
181303,Male,73,105000,8
181305,Female,71,32000,6
181308,Male,56,68000,10
181311,Female,85,67000,9
181314,Male,58,73000,15
181315,Female,41,55000,5
181316,Male,78,39000,30
181317,Female,55,78000,137
181319,Male,43,47000,7
181320,Female,56,106000,9
181322,Male,37,100000,38
181323,Male,41,71000,18
181326,Female,85,95000,9
181328,Female,66,62000,2
181330,Female,69,53000,20
181332,Female,56,49000,6
181333,Female,68,57000,1
181334,Female,36,80000,27
181337,Female,77,53000,5
181340,Male,48,33000,27
181342,Female,50,60000,9
181344,Female,56,75000,38
181347,Female,50,75000,37
181348,Female,50,111000,10
181349,Female,25,53000,10
181350,Male,42,63000,13
181352,Female,59,105000,25
181354,Female,66,69000,9
181357,Female,67,51000,12
181358,Female,56,79000,20
181359,Female,62,69000,3
181360,Female,62,76000,8
181361,Female,79,91000,1
181362,Female,55,102000,19
181365,Male,49,114000,29
181368,Female,55,75000,21
181371,Male,51,74000,28
181377,Male,23,43000,2
181380,Male,49,80000,17
181382,Male,54,43000,16
181383,Male,31,68000,42
181384,Female,48,58000,12
181385,Male,88,62000,12
181386,Male,42,36000,3
181387,Male,59,38000,2
181389,Male,33,31000,29
181390,Female,25,45000,8
181393,Male,51,75000,37
181394,Male,50,115000,9
181400,Female,64,56000,27
181401,Female,26,68000,59
181402,Male,52,73000,21
181404,Female,55,85000,19
181405,Male,44,64000,49
181406,Female,49,65000,23
181407,Female,49,68000,8
181408,Female,71,53000,36
181409,Male,44,46000,29
181412,Female,80,64000,13
181416,Female,52,68000,41
181417,Female,53,87000,50
181418,Female,44,73000,27
181420,Male,37,49000,35
181424,Female,55,76000,35
181425,Male,39,80000,8
181426,Male,50,31000,19
181428,Male,64,72000,41
181429,Female,61,77000,23
181430,Male,51,42000,14
181431,Male,74,100000,7
181433,Female,53,82000,16
181434,Male,29,32000,2
181435,Male,89,103000,23
181437,Female,71,56000,11
181439,Female,64,35000,15
181440,Male,65,72000,10
181441,Male,81,89000,4
181442,Female,62,64000,2
181443,Female,61,81000,17
181445,Female,51,35000,3
181448,Female,70,36000,28
181449,Male,47,37000,8
181451,Female,63,45000,11
181452,Female,42,45000,15
181455,Female,72,109000,2
181456,Female,53,68000,9
181461,Male,69,69000,4
181462,Female,42,56000,6
181463,Female,57,70000,13
181467,Male,69,97000,15
181469,Male,21,37000,7
181472,Female,67,38000,2
181474,Female,33,40000,9
181476,Female,44,40000,14
181477,Male,75,42000,1
181480,Male,49,60000,9
181481,Female,55,75000,13
181484,Female,42,78000,26
181485,Female,81,98000,5
181486,Female,51,82000,3
181488,Female,28,60000,8
181493,Female,28,35000,5
181495,Male,82,40000,9
181497,Male,77,111000,6
181498,Male,29,60000,5
181499,Female,52,41000,26
181500,Female,37,86000,17
181502,Female,34,73000,10
181503,Male,65,77000,16
181504,Male,86,44000,10
181507,Female,76,51000,24
181508,Male,71,65000,11
181511,Male,57,50000,5
181514,Female,65,73000,18
181516,Male,29,71000,2
181518,Male,36,67000,4
181519,Male,84,44000,2
181522,Female,60,43000,18
181525,Female,38,44000,14
181526,Male,53,103000,19
181527,Female,76,34000,12
181528,Male,34,68000,45
181531,Female,59,104000,18
181532,Female,74,111000,19
181533,Male,60,37000,2
181534,Female,90,120000,2
181540,Female,73,116000,43
181541,Male,36,62000,9
181548,Male,83,46000,5
181552,Male,71,113000,20
181554,Male,68,77000,5
181555,Female,39,46000,16
181557,Male,69,119000,12
181560,Male,43,38000,5
181561,Male,48,37000,4
181563,Female,54,84000,39
181565,Female,23,73000,24
181566,Female,86,75000,27
181567,Female,59,51000,1
181568,Male,21,31000,11
181571,Female,68,100000,8
181572,Female,56,118000,51
181576,Female,33,44000,6
181577,Female,20,73000,47
181578,Male,39,99000,6
181583,Male,53,40000,46
181584,Female,64,76000,46
181588,Female,20,39000,5
181594,Female,56,52000,15
181595,Male,75,42000,4
181596,Male,45,48000,21
181597,Female,54,41000,104
181599,Female,54,71000,6
181600,Male,46,80000,52
181601,Male,89,110000,22
181603,Male,55,37000,3
181604,Female,80,88000,41
181607,Female,90,54000,29
181608,Female,52,77000,21
181610,Male,61,81000,17
181611,Female,50,30000,12
181615,Male,63,51000,3
181616,Female,54,67000,2
181617,Female,75,53000,19
181618,Female,67,74000,20
181619,Female,53,61000,28
181620,Male,52,63000,17
181622,Female,68,37000,3
181625,Female,46,44000,52
181628,Male,59,56000,10
181629,Male,49,46000,18
181630,Male,62,70000,18
181632,Female,44,51000,31
181634,Female,33,66000,28
181635,Male,36,71000,7
181637,Female,50,99000,12
181638,Female,54,72000,9
181645,Female,79,72000,73
181646,Female,39,55000,22
181648,Male,38,59000,16
181651,Female,41,60000,5
181652,Male,43,52000,62
181656,Male,55,53000,41
181659,Female,28,37000,7
181661,Male,67,68000,8
181663,Female,66,52000,6
181664,Female,50,86000,6
181665,Female,81,56000,64
181666,Female,27,47000,3
181667,Female,54,92000,14
181668,Female,63,53000,11
181669,Male,40,74000,8
181671,Female,55,53000,38
181672,Female,68,51000,7
181674,Female,39,85000,12
181675,Female,68,32000,7
181677,Male,56,88000,35
181678,Male,67,67000,71
181680,Female,66,32000,31
181681,Male,74,51000,37
181682,Male,54,109000,19
181687,Female,75,103000,7
181688,Female,63,74000,15
181690,Female,59,108000,1
181691,Male,49,91000,14
181692,Male,60,68000,16
181693,Female,25,46000,2
181695,Male,22,31000,9
181696,Male,28,51000,2
181697,Female,83,34000,8
181700,Male,59,86000,7
181701,Female,63,46000,7
181702,Male,78,89000,6
181706,Female,23,42000,51
181708,Female,76,64000,6
181717,Male,30,40000,11
181719,Female,36,41000,23
181725,Male,52,73000,7
181726,Female,63,95000,5
181727,Female,26,31000,4
181729,Female,43,57000,175
181731,Female,40,57000,15
181732,Female,58,95000,4
181733,Male,67,50000,21
181735,Female,21,40000,7
181737,Female,60,52000,9
181742,Male,55,107000,22
181745,Female,64,58000,6
181746,Male,65,78000,15
181747,Female,53,88000,30
181750,Male,88,89000,13
181753,Male,66,103000,4
181754,Female,68,52000,17
181756,Female,82,76000,3
181759,Male,64,98000,11
181760,Female,60,40000,7
181764,Female,60,59000,8
181765,Female,82,78000,10
181767,Male,22,53000,1
181768,Male,43,68000,24
181769,Male,68,89000,40
181770,Male,58,90000,65
181771,Male,58,92000,30
181772,Male,78,52000,11
181773,Male,37,40000,20
181774,Male,68,80000,20
181775,Female,66,94000,10
181776,Female,27,84000,3
181777,Female,40,51000,17
181778,Male,22,73000,20
181779,Female,48,47000,4
181782,Male,64,42000,21
181783,Male,30,54000,12
181784,Female,66,46000,30
181785,Female,59,35000,11
181787,Male,53,51000,58
181790,Female,74,72000,11
181791,Female,47,34000,51
181793,Female,72,32000,5
181796,Female,54,37000,33
181804,Female,26,53000,75
181805,Female,54,65000,16
181806,Female,75,118000,24
181807,Male,57,79000,30
181809,Female,59,91000,23
181815,Male,24,57000,14
181816,Female,21,43000,32
181817,Male,37,32000,13
181819,Male,60,84000,37
181822,Male,54,32000,4
181824,Female,53,72000,5
181825,Male,61,72000,9
181827,Female,55,57000,32
181831,Male,29,58000,10
181832,Male,82,97000,2
181833,Female,71,32000,16
181834,Female,31,40000,6
181841,Male,33,38000,43
181843,Male,24,56000,3
181846,Female,59,108000,14
181847,Male,29,43000,4
181848,Male,28,55000,7
181849,Female,43,42000,5
181850,Female,45,67000,3
181853,Female,45,63000,15
181854,Male,88,52000,11
181856,Female,63,95000,4
181857,Male,48,75000,17
181858,Female,61,98000,13
181860,Male,55,74000,29
181862,Male,49,51000,32
181867,Male,59,80000,5
181868,Female,20,35000,20
