ID,Gender,Age,Member Since,Income,# of Orders,,,,,,,,
58, F,58,20180125,85000,16,,,,,,,,
59, F,46,20180629,36000,11,,,,,,,,
60, M,30,20171202,41000,9,,,,,,,,
61, M,59,20170820,89000,5,,,,,,,,
62, M,51,20151231,41000,11,,,,,,,,
63, M,27,20180110,35000,40,,,,,,,,
64, M,40,20180227,53000,11,,,,,,,,
65, F,73,20180419,91000,15,,,,,,,,
66, F,74,20151224,107000,7,,,,,,,,
67, M,42,20151121,66000,25,,,,,,,,
68, M,78,20151111,58000,7,,,,,,,,
69, F,54,20161225,53000,6,,,,,,,,
70, F,70,20180613,74000,14,,,,,,,,
71, F,49,20170408,57000,24,,,,,,,,
72, F,62,20180410,57000,13,,,,,,,,
73, M,64,20170305,70000,8,,,,,,,,
74, F,89,20171114,87000,6,,,,,,,,
75, M,73,20180401,51000,24,,,,,,,,
76, F,50,20170506,93000,10,,,,,,,,
77, F,90,20151210,98000,13,,,,,,,,
78, F,68,20160731,84000,7,,,,,,,,
79, M,60,20170206,64000,8,,,,,,,,
80, M,45,20170815,54000,13,,,,,,,,
81, M,66,20160124,49000,8,,,,,,,,
82, F,19,20161015,73000,20,,,,,,,,
83, F,66,20180216,58000,7,,,,,,,,
84, F,72,20160811,72000,9,,,,,,,,
85, M,76,20160407,63000,8,,,,,,,,
86, M,52,20170515,78000,18,,,,,,,,
87, M,55,20171210,31000,28,,,,,,,,
88, F,39,20170919,60000,8,,,,,,,,
89, F,45,20160126,44000,21,,,,,,,,
90, F,57,20170704,114000,72,,,,,,,,
91, M,74,20180712,48000,16,,,,,,,,
92, M,18,20160727,47000,6,,,,,,,,
93, M,53,20170927,96000,15,,,,,,,,
94, F,59,20170910,98000,10,,,,,,,,
95, M,57,20141104,46000,9,,,,,,,,
96, F,51,20170813,56000,17,,,,,,,,
97, F,64,20171020,37000,6,,,,,,,,
98, M,71,20170129,57000,15,,,,,,,,
99, F,64,20170421,66000,19,,,,,,,,
100, M,83,20180127,46000,6,,,,,,,,
101, M,26,20171211,71000,21,,,,,,,,
102, F,29,20180321,58000,7,,,,,,,,
103, M,43,20170915,70000,18,,,,,,,,
104, F,89,20180114,65000,6,,,,,,,,
105, F,49,20180518,79000,8,,,,,,,,
106, M,79,20160627,67000,4,,,,,,,,
107, F,55,20171016,94000,16,,,,,,,,
108, M,55,20171203,66000,8,,,,,,,,
109, M,45,20171007,31000,7,,,,,,,,
110, M,52,20180130,30000,21,,,,,,,,
111, M,39,20160404,55000,8,,,,,,,,
112, M,77,20180702,69000,27,,,,,,,,
113, M,66,20180709,60000,6,,,,,,,,
114, F,69,20170927,87000,5,,,,,,,,
115, M,74,20140820,53000,13,,,,,,,,
116, F,75,20180712,87000,7,,,,,,,,
117, F,59,20150909,85000,12,,,,,,,,
118, M,47,20131230,66000,28,,,,,,,,
119, M,20,20180528,69000,4,,,,,,,,
120, M,60,20170426,108000,4,,,,,,,,
121, M,65,20180315,61000,11,,,,,,,,
122, M,33,20150421,43000,30,,,,,,,,
123, F,39,20171217,67000,11,,,,,,,,
124, M,49,20180602,59000,9,,,,,,,,
125, M,68,20180207,58000,14,,,,,,,,
126, M,42,20170209,80000,11,,,,,,,,
127, M,72,20180601,33000,18,,,,,,,,
128, F,18,20170524,49000,12,,,,,,,,
129, F,32,20180628,42000,12,,,,,,,,
130, M,67,20170828,50000,4,,,,,,,,
131, M,52,20180704,42000,10,,,,,,,,
132, M,38,20171019,64000,25,,,,,,,,
133, F,60,20180316,77000,21,,,,,,,,
134, F,62,20171222,77000,7,,,,,,,,
135, F,55,20180708,51000,5,,,,,,,,
136, M,22,20180428,63000,5,,,,,,,,
137, M,34,20171206,41000,7,,,,,,,,
138, M,46,20141214,60000,33,,,,,,,,
139, M,85,20180726,67000,5,,,,,,,,
140, F,51,20170316,85000,77,,,,,,,,
141, F,53,20160427,85000,5,,,,,,,,
142, M,51,20160810,92000,46,,,,,,,,
143, M,48,20150601,44000,15,,,,,,,,
144, M,52,20180605,72000,8,,,,,,,,
145, M,62,20160305,53000,9,,,,,,,,
146, M,42,20180325,62000,41,,,,,,,,
147, M,55,20171025,65000,14,,,,,,,,
148, F,27,20150915,50000,8,,,,,,,,
149, M,68,20180530,107000,16,,,,,,,,
150, F,74,20171220,83000,32,,,,,,,,
151, M,77,20141011,66000,12,,,,,,,,
152, M,35,20180118,72000,66,,,,,,,,
153, F,50,20171108,69000,20,,,,,,,,
154, M,45,20151027,94000,36,,,,,,,,
155, M,82,20161231,87000,23,,,,,,,,
156, M,40,20131222,57000,4,,,,,,,,
157, M,66,20180617,34000,5,,,,,,,,
158, M,52,20180411,63000,6,,,,,,,,
159, F,57,20160329,89000,5,,,,,,,,
160, M,68,20160629,69000,13,,,,,,,,
161, M,21,20180303,52000,21,,,,,,,,
162, M,61,20170815,44000,15,,,,,,,,
163, F,58,20180317,54000,12,,,,,,,,
164, F,67,20180614,54000,11,,,,,,,,
165, M,24,20170212,61000,8,,,,,,,,
166, M,26,20171117,35000,7,,,,,,,,
167, F,71,20171207,105000,6,,,,,,,,
168, F,69,20171212,64000,23,,,,,,,,
169, M,81,20180503,93000,7,,,,,,,,
170, M,62,20160405,73000,4,,,,,,,,
171, M,38,20170709,74000,7,,,,,,,,
172, M,61,20170926,82000,7,,,,,,,,
173, F,52,20170809,92000,45,,,,,,,,
174, M,50,20171225,70000,28,,,,,,,,
175, M,54,20170216,118000,24,,,,,,,,
176, F,75,20180502,109000,7,,,,,,,,
177, M,82,20180319,73000,15,,,,,,,,
178, M,64,20180720,38000,6,,,,,,,,
179, F,54,20151006,99000,6,,,,,,,,
180, M,82,20180108,72000,7,,,,,,,,
181, M,90,20180509,45000,11,,,,,,,,
182, F,34,20180417,67000,27,,,,,,,,
183, M,44,20180718,53000,5,,,,,,,,
184, F,79,20180711,106000,12,,,,,,,,
185, F,58,20161231,95000,7,,,,,,,,
186, F,47,20160105,74000,8,,,,,,,,
187, F,60,20171117,59000,33,,,,,,,,
188, M,83,20170807,54000,6,,,,,,,,
189, F,74,20180517,103000,12,,,,,,,,
190, M,89,20150917,101000,18,,,,,,,,
191, M,68,20160305,62000,5,,,,,,,,
192, F,63,20171127,110000,6,,,,,,,,
193, F,40,20180706,51000,6,,,,,,,,
194, F,79,20171217,99000,10,,,,,,,,
195, M,71,20180321,30000,59,,,,,,,,
196, F,76,20150906,114000,4,,,,,,,,
197, M,89,20160528,96000,21,,,,,,,,
198, M,63,20170729,36000,6,,,,,,,,
199, M,41,20170922,83000,4,,,,,,,,
200, F,71,20180408,56000,10,,,,,,,,
201, M,44,20171011,36000,8,,,,,,,,
202, M,25,20160406,73000,14,,,,,,,,
203, M,27,20180327,70000,4,,,,,,,,
204, M,67,20180212,106000,59,,,,,,,,
205, F,77,20160219,80000,13,,,,,,,,
206, F,68,20151229,66000,29,,,,,,,,
207, M,37,20160420,64000,4,,,,,,,,
208, M,55,20160323,60000,19,,,,,,,,
209, M,30,20160903,54000,20,,,,,,,,
210, M,51,20150815,54000,100,,,,,,,,
211, F,47,20180712,92000,5,,,,,,,,
212, M,49,20180204,48000,13,,,,,,,,
213, M,32,20151008,38000,6,,,,,,,,
214, M,30,20170418,69000,28,,,,,,,,
215, M,47,20170225,86000,6,,,,,,,,
216, M,34,20170123,34000,18,,,,,,,,
217, F,78,20170604,101000,12,,,,,,,,
218, F,85,20160302,71000,7,,,,,,,,
219, F,75,20130806,69000,34,,,,,,,,
220, F,76,20170311,71000,17,,,,,,,,
221, F,89,20150722,59000,24,,,,,,,,
222, M,58,20180129,70000,71,,,,,,,,
223, M,23,20171030,49000,50,,,,,,,,
224, M,58,20170916,53000,4,,,,,,,,
225, F,64,20151012,95000,12,,,,,,,,
226, M,72,20170909,39000,22,,,,,,,,
227, F,66,20170811,72000,32,,,,,,,,
228, F,49,20170809,68000,5,,,,,,,,
229, M,43,20170413,71000,18,,,,,,,,
230, M,58,20180717,39000,11,,,,,,,,
231, M,43,20170806,76000,4,,,,,,,,
232, F,56,20170329,87000,37,,,,,,,,
233, F,69,20171016,118000,26,,,,,,,,
234, O,60,20180216,94000,43,,,,,,,,
235, M,81,20160601,70000,22,,,,,,,,
236, M,42,20170403,91000,46,,,,,,,,
237, M,75,20150110,71000,9,,,,,,,,
238, M,62,20180127,73000,7,,,,,,,,
239, F,55,20160505,54000,6,,,,,,,,
240, M,65,20171011,39000,6,,,,,,,,
241, M,52,20170227,46000,15,,,,,,,,
242, F,30,20171015,40000,17,,,,,,,,
243, F,74,20150924,75000,28,,,,,,,,
244, F,100,20150828,63000,8,,,,,,,,
245, F,26,20170324,40000,6,,,,,,,,
246, F,56,20160328,53000,6,,,,,,,,
247, M,50,20141015,90000,6,,,,,,,,
248, M,73,20171008,95000,59,,,,,,,,
249, F,49,20171210,74000,10,,,,,,,,
250, M,37,20160109,50000,12,,,,,,,,
251, M,65,20160212,57000,11,,,,,,,,
252, F,64,20160225,81000,5,,,,,,,,
253, F,48,20161014,53000,4,,,,,,,,
254, M,20,20150812,32000,12,,,,,,,,
255, M,46,20180723,40000,5,,,,,,,,
256, M,24,20150427,69000,19,,,,,,,,
257, M,71,20150826,95000,21,,,,,,,,
258, F,50,20180525,78000,25,,,,,,,,
259, M,37,20170515,92000,4,,,,,,,,
260, F,57,20160522,81000,18,,,,,,,,
261, M,52,20140425,85000,9,,,,,,,,
262, M,41,20160824,41000,46,,,,,,,,
263, F,66,20170618,74000,4,,,,,,,,
264, F,66,20151001,87000,30,,,,,,,,
265, F,68,20171025,120000,8,,,,,,,,
266, M,20,20160308,70000,6,,,,,,,,
267, M,43,20170704,42000,10,,,,,,,,
268, M,73,20171212,38000,10,,,,,,,,
269, F,42,20170529,56000,4,,,,,,,,
270, M,82,20160604,110000,23,,,,,,,,
271, F,70,20171109,92000,16,,,,,,,,
272, F,42,20171010,71000,10,,,,,,,,
273, M,48,20150903,62000,20,,,,,,,,
274, F,53,20150910,93000,15,,,,,,,,
275, M,64,20180304,67000,15,,,,,,,,
276, M,79,20180123,90000,10,,,,,,,,
277, M,51,20160511,55000,4,,,,,,,,
278, F,45,20180120,88000,69,,,,,,,,
279, F,48,20160602,105000,15,,,,,,,,
280, F,54,20151024,119000,42,,,,,,,,
281, M,52,20180710,48000,31,,,,,,,,
282, M,28,20130924,68000,4,,,,,,,,
283, M,69,20140502,47000,6,,,,,,,,
284, M,73,20170627,92000,17,,,,,,,,
285, F,67,20170813,71000,5,,,,,,,,
286, F,76,20180613,34000,4,,,,,,,,
287, F,55,20151121,53000,15,,,,,,,,
288, F,89,20180623,83000,4,,,,,,,,
289, M,57,20180429,41000,50,,,,,,,,
290, F,54,20180211,70000,52,,,,,,,,
291, M,58,20171227,73000,5,,,,,,,,
292, M,49,20171123,39000,9,,,,,,,,
293, F,73,20180507,79000,9,,,,,,,,
294, F,58,20170219,76000,16,,,,,,,,
295, M,51,20171214,70000,24,,,,,,,,
296, M,74,20160418,78000,7,,,,,,,,
297, M,53,20150906,95000,12,,,,,,,,
298, M,61,20180227,32000,4,,,,,,,,
299, M,41,20171024,55000,10,,,,,,,,
300, F,64,20171008,95000,39,,,,,,,,
301, M,42,20170908,75000,19,,,,,,,,
302, M,50,20160426,57000,11,,,,,,,,
303, M,60,20170903,56000,9,,,,,,,,
304, F,57,20160408,83000,43,,,,,,,,
305, F,39,20170407,54000,5,,,,,,,,
306, F,57,20160827,67000,25,,,,,,,,
307, M,57,20171216,71000,35,,,,,,,,
308, M,68,20160318,51000,4,,,,,,,,
309, F,83,20150910,114000,26,,,,,,,,
310, F,35,20180102,72000,100,,,,,,,,
311, F,90,20180101,72000,16,,,,,,,,
312, M,56,20180404,72000,5,,,,,,,,
313, M,84,20170907,81000,100,,,,,,,,
314, M,62,20180312,39000,6,,,,,,,,
315, M,63,20170223,58000,5,,,,,,,,
316, M,67,20160105,56000,22,,,,,,,,
317, F,68,20171126,50000,5,,,,,,,,
318, M,55,20170508,73000,8,,,,,,,,
319, F,24,20170207,59000,9,,,,,,,,
320, M,40,20170815,39000,6,,,,,,,,
321, M,83,20180118,61000,34,,,,,,,,
322, F,63,20170316,41000,15,,,,,,,,
323, F,59,20180116,59000,72,,,,,,,,
324, O,49,20171207,42000,12,,,,,,,,
325, F,61,20160612,99000,8,,,,,,,,
326, M,42,20180613,57000,6,,,,,,,,
327, M,58,20180129,36000,64,,,,,,,,
328, F,48,20161021,44000,13,,,,,,,,
329, M,35,20170829,64000,9,,,,,,,,
330, M,36,20180315,31000,8,,,,,,,,
331, F,41,20160414,100000,9,,,,,,,,
332, F,83,20170430,73000,13,,,,,,,,
333, M,53,20171015,87000,9,,,,,,,,
334, F,53,20160115,97000,64,,,,,,,,
335, F,80,20180110,48000,7,,,,,,,,
336, M,25,20151116,66000,12,,,,,,,,
337, M,63,20151104,119000,13,,,,,,,,
338, F,63,20160614,66000,6,,,,,,,,
339, F,56,20180123,109000,4,,,,,,,,
340, M,43,20171004,59000,6,,,,,,,,
341, F,58,20160314,58000,12,,,,,,,,
342, M,59,20170123,59000,17,,,,,,,,
343, M,49,20180318,104000,5,,,,,,,,
344, F,63,20170912,70000,10,,,,,,,,
345, M,42,20151210,94000,4,,,,,,,,
346, F,52,20180117,57000,7,,,,,,,,
347, F,57,20180408,37000,4,,,,,,,,
348, F,56,20171109,59000,29,,,,,,,,
349, M,80,20171015,87000,8,,,,,,,,
350, M,43,20160211,52000,15,,,,,,,,
351, M,54,20171114,70000,15,,,,,,,,
352, M,28,20161111,73000,11,,,,,,,,
353, F,57,20171008,95000,12,,,,,,,,
354, M,71,20150310,67000,6,,,,,,,,
355, F,64,20180418,112000,14,,,,,,,,
356, M,20,20140531,49000,4,,,,,,,,
357, F,36,20170423,58000,9,,,,,,,,
358, F,45,20161004,99000,8,,,,,,,,
359, M,71,20141217,65000,16,,,,,,,,
360, M,67,20180601,89000,4,,,,,,,,
361, F,72,20160922,81000,7,,,,,,,,
362, M,51,20180512,100000,12,,,,,,,,
363, M,48,20170919,68000,13,,,,,,,,
364, M,53,20180410,60000,19,,,,,,,,
365, M,25,20180215,53000,16,,,,,,,,
366, F,79,20180110,85000,4,,,,,,,,
367, M,19,20180624,32000,5,,,,,,,,
368, F,28,20180411,49000,5,,,,,,,,
369, M,56,20140611,76000,17,,,,,,,,
370, M,44,20140319,37000,28,,,,,,,,
371, M,25,20171225,40000,4,,,,,,,,
372, F,61,20180113,78000,13,,,,,,,,
373, M,34,20170922,59000,59,,,,,,,,
374, F,41,20171210,37000,17,,,,,,,,
375, M,44,20161204,51000,8,,,,,,,,
376, F,51,20180629,92000,9,,,,,,,,
377, M,47,20171109,44000,4,,,,,,,,
378, F,63,20180707,70000,9,,,,,,,,
379, M,62,20171126,61000,20,,,,,,,,
380, M,66,20180703,71000,13,,,,,,,,
381, M,62,20171208,70000,17,,,,,,,,
382, M,83,20160410,88000,30,,,,,,,,
383, M,43,20180627,58000,10,,,,,,,,
384, F,66,20161204,94000,10,,,,,,,,
385, M,70,20171118,44000,5,,,,,,,,
386, F,65,20180112,66000,5,,,,,,,,
387, F,33,20161106,54000,9,,,,,,,,
388, M,63,20180726,78000,11,,,,,,,,
389, M,77,20170801,42000,13,,,,,,,,
390, F,49,20171016,57000,23,,,,,,,,
391, M,53,20170123,104000,24,,,,,,,,
392, F,61,20160228,87000,7,,,,,,,,
393, M,60,20151215,38000,11,,,,,,,,
394, F,44,20170918,60000,6,,,,,,,,
395, M,69,20150622,62000,4,,,,,,,,
396, M,39,20180524,71000,19,,,,,,,,
397, F,38,20150326,55000,4,,,,,,,,
398, F,83,20171223,99000,54,,,,,,,,
399, F,63,20160124,94000,4,,,,,,,,
400, F,41,20151015,41000,6,,,,,,,,
401, M,54,20171112,39000,5,,,,,,,,
402, M,41,20180126,55000,5,,,,,,,,
403, F,56,20170922,69000,33,,,,,,,,
404, M,50,20180118,98000,7,,,,,,,,
405, M,58,20151123,55000,6,,,,,,,,
406, M,39,20170425,61000,5,,,,,,,,
407, F,60,20170926,55000,5,,,,,,,,
408, F,60,20160906,74000,5,,,,,,,,
409, M,24,20180703,38000,87,,,,,,,,
410, M,48,20161130,57000,29,,,,,,,,
411, M,50,20180326,110000,12,,,,,,,,
412, F,41,20170730,67000,5,,,,,,,,
413, M,45,20150504,84000,21,,,,,,,,
414, M,48,20160709,93000,4,,,,,,,,
415, M,59,20180201,87000,7,,,,,,,,
416, M,43,20180423,45000,4,,,,,,,,
417, F,56,20171021,67000,10,,,,,,,,
418, M,54,20161206,93000,9,,,,,,,,
419, F,48,20180722,47000,25,,,,,,,,
420, M,63,20171226,49000,23,,,,,,,,
421, M,47,20171202,35000,4,,,,,,,,
422, M,52,20160830,56000,28,,,,,,,,
423, F,58,20160905,78000,43,,,,,,,,
424, M,78,20150509,39000,5,,,,,,,,
425, M,43,20140701,40000,8,,,,,,,,
426, M,68,20170806,61000,14,,,,,,,,
427, M,18,20150503,48000,9,,,,,,,,
428, F,39,20160919,85000,4,,,,,,,,
429, M,74,20180721,99000,30,,,,,,,,
430, F,53,20170119,98000,9,,,,,,,,
431, F,61,20150923,67000,10,,,,,,,,
432, M,23,20180428,54000,53,,,,,,,,
433, M,46,20171109,55000,6,,,,,,,,
434, M,51,20170827,78000,5,,,,,,,,
435, M,77,20180407,86000,14,,,,,,,,
436, F,79,20171026,91000,17,,,,,,,,
437, M,41,20150514,41000,20,,,,,,,,
438, F,60,20160217,78000,12,,,,,,,,
439, F,54,20171123,47000,10,,,,,,,,
440, O,63,20150920,89000,19,,,,,,,,
441, M,73,20180414,76000,15,,,,,,,,
442, M,47,20180211,77000,13,,,,,,,,
443, M,84,20160401,82000,11,,,,,,,,
444, M,20,20170901,56000,43,,,,,,,,
445, F,24,20150118,35000,5,,,,,,,,
446, F,58,20170310,71000,9,,,,,,,,
447, M,35,20170928,40000,6,,,,,,,,
448, M,57,20170806,33000,34,,,,,,,,
449, M,87,20150410,55000,22,,,,,,,,
450, F,86,20150506,84000,18,,,,,,,,
451, F,57,20180117,100000,33,,,,,,,,
452, M,61,20171022,112000,25,,,,,,,,
453, M,25,20171021,53000,14,,,,,,,,
454, M,38,20150513,31000,55,,,,,,,,
455, M,94,20141128,50000,8,,,,,,,,
456, M,59,20151212,61000,7,,,,,,,,
457, F,49,20171231,73000,5,,,,,,,,
458, F,61,20160614,72000,15,,,,,,,,
459, M,31,20171101,64000,24,,,,,,,,
460, F,75,20171102,53000,4,,,,,,,,
461, M,51,20180405,65000,5,,,,,,,,
462, M,68,20171201,74000,60,,,,,,,,
463, M,86,20180524,71000,8,,,,,,,,
464, F,62,20180707,117000,50,,,,,,,,
465, M,61,20180627,64000,41,,,,,,,,
466, F,63,20180627,57000,32,,,,,,,,
467, F,26,20171204,52000,6,,,,,,,,
468, F,50,20151102,77000,7,,,,,,,,
469, F,45,20170625,93000,9,,,,,,,,
470, F,88,20160214,64000,17,,,,,,,,
471, F,50,20170908,92000,7,,,,,,,,
472, F,65,20170909,119000,5,,,,,,,,
473, M,55,20170717,76000,12,,,,,,,,
474, M,71,20160406,95000,30,,,,,,,,
475, F,34,20150925,46000,29,,,,,,,,
476, M,81,20170825,65000,17,,,,,,,,
477, F,65,20130822,98000,5,,,,,,,,
478, F,63,20180326,62000,9,,,,,,,,
479, M,73,20160527,58000,24,,,,,,,,
480, F,84,20180125,77000,13,,,,,,,,
481, F,55,20180613,62000,36,,,,,,,,
482, M,63,20170924,70000,10,,,,,,,,
483, F,24,20180416,51000,10,,,,,,,,
484, M,36,20130730,74000,11,,,,,,,,
485, M,56,20160607,69000,13,,,,,,,,
486, F,65,20170502,119000,13,,,,,,,,
487, M,75,20180623,75000,34,,,,,,,,
488, M,71,20160720,114000,7,,,,,,,,
489, M,71,20171224,118000,8,,,,,,,,
490, M,61,20170425,39000,4,,,,,,,,
491, O,73,20180316,88000,4,,,,,,,,
492, M,19,20180321,73000,6,,,,,,,,
493, F,64,20170724,34000,8,,,,,,,,
494, F,66,20171020,112000,4,,,,,,,,
495, M,37,20180224,59000,25,,,,,,,,
496, M,22,20161220,49000,83,,,,,,,,
497, F,54,20180719,96000,10,,,,,,,,
498, M,62,20180105,73000,13,,,,,,,,
499, F,50,20180106,75000,7,,,,,,,,
500, F,80,20170726,87000,4,,,,,,,,
501, M,55,20150923,112000,7,,,,,,,,
502, M,40,20170303,50000,8,,,,,,,,
503, M,43,20151218,52000,37,,,,,,,,
504, M,61,20170205,53000,5,,,,,,,,
505, F,32,20170531,43000,4,,,,,,,,
506, F,68,20170903,32000,5,,,,,,,,
507, F,66,20170821,104000,8,,,,,,,,
508, M,36,20171226,35000,20,,,,,,,,
509, M,38,20171019,60000,12,,,,,,,,
510, F,80,20150728,54000,10,,,,,,,,
511, F,82,20180123,68000,6,,,,,,,,
512, M,45,20151027,74000,5,,,,,,,,
513, M,89,20171026,63000,4,,,,,,,,
514, F,45,20171207,94000,6,,,,,,,,
515, M,59,20180405,35000,20,,,,,,,,
516, M,22,20180322,44000,94,,,,,,,,
517, F,67,20170714,50000,5,,,,,,,,
518, F,30,20161205,41000,6,,,,,,,,
519, M,56,20180402,88000,11,,,,,,,,
520, F,53,20160114,100000,30,,,,,,,,
521, M,32,20161028,58000,7,,,,,,,,
522, F,51,20160223,73000,11,,,,,,,,
523, F,38,20171225,66000,13,,,,,,,,
524, F,52,20140113,45000,6,,,,,,,,
525, M,55,20160908,68000,37,,,,,,,,
526, M,81,20171009,41000,5,,,,,,,,
527, M,55,20171103,78000,4,,,,,,,,
528, F,51,20140202,67000,35,,,,,,,,
529, F,71,20150904,74000,51,,,,,,,,
530, M,45,20160303,84000,4,,,,,,,,
531, M,49,20151016,71000,30,,,,,,,,
532, M,62,20170920,48000,5,,,,,,,,
533, F,65,20151016,99000,5,,,,,,,,
534, F,50,20180109,63000,8,,,,,,,,
535, F,20,20180203,60000,29,,,,,,,,
536, F,49,20180430,31000,4,,,,,,,,
537, M,55,20170924,83000,6,,,,,,,,
538, M,58,20141024,54000,27,,,,,,,,
539, F,95,20170913,64000,18,,,,,,,,
540, F,83,20180112,99000,6,,,,,,,,
541, F,56,20160214,70000,6,,,,,,,,
542, M,66,20170523,54000,4,,,,,,,,
543, M,87,20170808,74000,12,,,,,,,,
544, M,55,20160826,89000,5,,,,,,,,
545, F,52,20170801,114000,5,,,,,,,,
546, F,59,20161226,83000,7,,,,,,,,
547, F,59,20160515,51000,11,,,,,,,,
548, F,49,20171128,74000,8,,,,,,,,
549, F,62,20140404,46000,11,,,,,,,,
550, F,56,20150826,80000,5,,,,,,,,
551, F,51,20170401,97000,11,,,,,,,,
552, F,47,20140608,62000,13,,,,,,,,
553, M,38,20160413,96000,10,,,,,,,,
554, M,43,20180709,44000,7,,,,,,,,
555, M,43,20161021,72000,12,,,,,,,,
556, M,49,20151106,84000,4,,,,,,,,
557, F,36,20170925,57000,6,,,,,,,,
558, F,45,20161124,58000,28,,,,,,,,
559, M,53,20180609,95000,23,,,,,,,,
560, M,43,20170806,60000,35,,,,,,,,
561, F,18,20170619,67000,5,,,,,,,,
562, M,40,20160602,41000,52,,,,,,,,
563, F,83,20170321,114000,6,,,,,,,,
564, M,49,20180123,65000,10,,,,,,,,
565, F,51,20170323,106000,6,,,,,,,,
566, M,25,20180329,55000,14,,,,,,,,
567, M,71,20180105,55000,22,,,,,,,,
568, M,58,20170917,71000,11,,,,,,,,
569, M,53,20140712,36000,4,,,,,,,,
570, F,83,20170615,93000,7,,,,,,,,
571, M,46,20160315,56000,7,,,,,,,,
572, F,69,20170225,97000,4,,,,,,,,
573, M,51,20170802,73000,16,,,,,,,,
574, M,61,20180224,68000,12,,,,,,,,
575, F,81,20170804,101000,5,,,,,,,,
576, M,60,20180202,41000,7,,,,,,,,
577, M,48,20150910,75000,6,,,,,,,,
578, F,48,20150923,87000,4,,,,,,,,
579, M,73,20140124,63000,4,,,,,,,,
580, F,41,20180211,89000,22,,,,,,,,
581, F,39,20160402,77000,4,,,,,,,,
582, M,31,20171008,56000,22,,,,,,,,
583, M,38,20171215,61000,35,,,,,,,,
584, F,46,20170911,36000,9,,,,,,,,
585, M,87,20141113,72000,12,,,,,,,,
586, F,53,20151214,83000,5,,,,,,,,
587, F,93,20131025,48000,13,,,,,,,,
588, M,42,20150825,41000,19,,,,,,,,
589, M,54,20151026,79000,5,,,,,,,,
590, M,47,20180726,53000,5,,,,,,,,
591, M,75,20171203,109000,8,,,,,,,,
592, F,79,20180410,61000,5,,,,,,,,
593, F,36,20171010,64000,18,,,,,,,,
594, M,30,20170409,43000,6,,,,,,,,
595, M,34,20131116,50000,8,,,,,,,,
596, F,39,20160119,78000,65,,,,,,,,
597, F,52,20160523,87000,8,,,,,,,,
598, M,43,20160416,34000,8,,,,,,,,
599, M,75,20180624,38000,33,,,,,,,,
600, M,47,20170917,40000,8,,,,,,,,
601, F,60,20180420,117000,10,,,,,,,,
602, M,31,20180123,43000,8,,,,,,,,
603, M,70,20180304,35000,6,,,,,,,,
604, F,49,20180109,36000,28,,,,,,,,
